time,count,p90,p99
1357711012000,799,0.000923,0.003612
1357711013000,625,0.000820,0.001822
1357711014000,690,0.000950,0.010916
1357711015000,630,0.000816,0.002099
1357711016000,578,0.000802,0.002107
1357711017000,821,0.000915,0.002109
1357711018000,511,0.000791,0.001869
1357711019000,509,0.000978,0.003628
1357711020000,342,0.000942,0.002057
1357711021000,470,0.000947,0.002757
1357711022000,629,0.000942,0.002293
1357711023000,771,0.000919,0.002744
1357711024000,497,0.000948,0.002621
1357711025000,493,0.000777,0.001877
1357711026000,642,0.000841,0.002070
1357711027000,310,0.000797,0.002326
1357711028000,737,0.000884,0.002841
1357711029000,409,0.000858,0.002467
1357711030000,687,0.000870,0.002417
1357711031000,539,0.000740,0.001652
1357711032000,507,0.000845,0.002059
1357711033000,505,0.000955,0.001799
1357711034000,919,0.000981,0.002811
1357711035000,597,0.000805,0.003305
1357711036000,579,0.000825,0.002189
1357711037000,473,0.000889,0.002243
1357711038000,860,0.000987,0.002241
1357711039000,703,0.000722,0.002020
1357711040000,395,0.000878,0.001996
1357711041000,532,0.000917,0.002051
1357711042000,494,0.000855,0.002114
1357711043000,843,0.000847,0.002097
1357711044000,497,0.000728,0.001913
1357711045000,397,0.000867,0.002680
1357711046000,431,0.000889,0.002299
1357711047000,627,0.000912,0.002224
1357711048000,878,0.000805,0.001732
1357711049000,640,0.000906,0.003319
1357711050000,611,0.000883,0.002190
1357711051000,596,0.000708,0.001762
1357711052000,504,0.000816,0.001979
1357711053000,602,0.000802,0.006165
1357711054000,517,0.000822,0.002289
1357711055000,693,0.000835,0.001849
1357711056000,711,0.000927,0.001942
1357711057000,551,0.000855,0.002021
1357711058000,632,0.000839,0.002211
1357711059000,642,0.000764,0.003157
1357711060000,423,0.000829,0.002004
1357711061000,827,0.000752,0.002161
1357711062000,652,0.000803,0.001768
1357711063000,586,0.000889,0.002216
1357711064000,477,0.000998,0.002259
1357711065000,376,0.000786,0.002350
1357711066000,813,0.000893,0.002358
1357711067000,627,0.000768,0.001812
1357711068000,575,0.000807,0.001953
1357711069000,457,0.000869,0.002248
1357711070000,742,0.000871,0.002326
1357711071000,887,0.000885,0.002000
1357711072000,471,0.000907,0.002667
1357711073000,508,0.000797,0.002868
1357711074000,850,0.000933,0.002499
1357711075000,532,0.000832,0.002198
1357711076000,427,0.000929,0.001753
1357711077000,734,0.000933,0.003333
1357711078000,539,0.000858,0.002285
1357711079000,640,0.000883,0.001960
1357711080000,634,0.000826,0.002109
1357711081000,668,0.000815,0.002144
1357711082000,496,0.000978,0.002662
1357711083000,524,0.000841,0.003353
1357711084000,479,0.000823,0.001902
1357711085000,563,0.000812,0.002142
1357711086000,690,0.000848,0.002343
1357711087000,809,0.000808,0.001629
1357711088000,299,0.000904,0.003162
1357711089000,457,0.001497,0.004215
1357711090000,512,0.000754,0.001886
1357711091000,574,0.000948,0.002702
1357711092000,714,0.000852,0.002251
1357711093000,576,0.000822,0.001780
1357711094000,723,0.000850,0.001893
1357711095000,371,0.000850,0.001859
1357711096000,379,0.000893,0.001970
1357711097000,676,0.000868,0.002575
1357711098000,635,0.000797,0.003930
1357711099000,610,0.000833,0.002576
1357711100000,575,0.001123,0.003062
1357711101000,575,0.000707,0.001942
1357711102000,487,0.000909,0.002220
1357711103000,484,0.000879,0.003532
1357711104000,388,0.000885,0.003222
1357711105000,545,0.000788,0.001941
1357711106000,501,0.000763,0.002333
1357711107000,777,0.000816,0.001920
1357711108000,427,0.000702,0.002362
1357711109000,426,0.000828,0.001813
1357711110000,673,0.000865,0.001855
1357711111000,874,0.001025,0.002745
1357711112000,636,0.000939,0.002337
1357711113000,941,0.000946,0.002320
1357711114000,764,0.000826,0.002009
1357711115000,674,0.000725,0.001875
1357711116000,511,0.000743,0.001987
1357711117000,478,0.000853,0.001993
1357711118000,502,0.000807,0.001663
1357711119000,494,0.000836,0.002064
1357711120000,735,0.000876,0.002007
1357711121000,727,0.000742,0.002045
1357711122000,703,0.000938,0.002230
1357711123000,623,0.000855,0.002016
1357711124000,693,0.000763,0.002508
1357711125000,523,0.000862,0.002903
1357711126000,461,0.000764,0.001698
1357711127000,407,0.000997,0.002356
1357711128000,451,0.000765,0.002137
1357711129000,480,0.000805,0.001863
1357711130000,542,0.000930,0.003202
1357711131000,472,0.000824,0.002297
